english,portuguese
"Whatever you do, do it quickly.","O que quer que faças, faze-o rápido."
How much time do you have left?,Quanto tempo vocês ainda têm?
"Tom is good, isn't he?","Tom é bom, não é?"
Can we afford it?,Podemos bancar isso?
Tell me a joke.,Conte-me uma piada.
Tom gave Mary a big kiss.,Tom deu um grande beijo em Mary.
Tom is laughing at me.,Tom está rindo de mim.
He took her by the hand.,Ele a pegou pela mão.
I didn't know who it was.,Não sabia quem era.
I'm not interested in science.,Não estou interessada em ciência.
It's Tom's first time in Australia.,É a primeira vez que Tom está na Austrália.
I want to go to your party.,Quero ir para a sua festa.
It's too big to fit in the car.,Isso é grande demais para caber no carro.
"Mary's not the first woman to fall in love with a married man, and she won't be the last.",Mary não é a primeira mulher a se apaixonar por um homem casado e não será a última.
Many languages use English words.,Muitas línguas utilizam palavras inglesas.
Our team isn't likely to win.,Duvido que nossa equipe vença.
I didn't answer your letter because I was too busy.,Não respondi a sua carta porque estava muito ocupado.
Tom doesn't take Mary seriously.,Tom não leva Maria a sério.
You're so romantic.,Você é tão romântica.
I am badly in need of your help.,Eu preciso muito da tua ajuda.
Would you please shut the window?,"Você poderia fechar a janela, por favor?"
Tom seems like a nice guy.,Tom parece ser um cara bacana.
Please keep the windows open.,"Por favor, deixe as janelas abertas."
The train got in on time.,O trem chegou na hora.
Maybe we should be quiet.,Talvez devêssemos ficar quietos.
Are you blackmailing me?,Você está me chantageando?
You can't keep doing this to Tom.,Você não pode continuar fazendo isso com o Tom.
Please get into the car.,"Por favor, entre no carro."
Do you take MasterCard?,Vocês aceitam MasterCard?
I thought Tom would win.,Achei que o Tom fosse ganhar.
We're closing early.,Estamos fechando cedo.
What has Tom said?,O que Tom disse?
I must have caught a cold.,Eu devo ter pego um resfriado.
Everyone knows that he's still alive.,Todos sabem que ele ainda está vivo.
This is Japan.,Este é o Japão.
Our teacher arrived late on the first day of class.,Nosso professor chegou atrasado no primeiro dia de aula.
Time destroys everything.,O tempo destrói tudo.
Tom doesn't know much about us.,Tom não sabe muito sobre nós.
My sister often cries.,A minha irmã chora frequentemente.
He wanted to teach English at school.,Ele queria ensinar inglês na escola.
"You think I can do that by myself, don't you?","Você acha que consigo fazer isso sozinho, não é?"
Is it true that Tom can't drive?,É verdade que o Tom não sabe dirigir?
She didn't go there yesterday.,Ela não foi lá ontem.
"I don't like broccoli, but Tom does.","Não gosto de brócolis, mas o Tom gosta."
Why does it take so long?,Por que isso demora tanto?
Can you really make a living doing this?,Você realmente consegue ganhar a vida fazendo isso?
She has to stop smoking.,Ela tem que parar de fumar.
This mountain is difficult to climb.,Esta montanha é difícil de escalar.
"After the concert, Tom signed autographs.",Tom deu autógrafos depois do show.
You're a lot older than Tom is.,Você é muito mais velho que o Tom.
Now's the time to begin.,Este é o momento de começar.
He went back to Japan.,Ele voltou ao Japão.
I don't know where Tom keeps his umbrella.,Não sei onde Tom guarda o guarda-chuva dele.
They have been busy.,Eles estiveram ocupados.
Tom has probably already forgotten about you.,Tom provavelmente já se esqueceu de você.
I rang the doorbell.,Eu toquei a campainha.
The man brushes his teeth.,O homem escova os dentes.
Tom was worried that he might be late.,Tom estava preocupado em chegar atrasado.
I'm typing.,Eu estou digitando.
It was quite funny.,Foi muito divertido.
These shoes are big enough for me.,Esses sapatos são grandes o suficiente para mim.
I'm very fortunate that I wasn't injured.,Tenho muita sorte de não estar ferido.
What are they doing?,O que eles estão fazendo?
They both laugh.,Ambos riram.
"Wise people are not always highly-educated, and highly-educated people are not always wise.","Homens sábios podem não ser muito instruídos, homens muito instruídos podem não ser sábios."
She took him to the store.,Ela o levou à loja.
I'm not alone.,Não estou sozinho.
Tom is average looking.,O Tom tem uma aparência mediana.
Let's go and talk to Tom.,Vamos falar com Tom.
We plan to stay open until we've sold everything.,Nós pretendemos ficar aberto até vendermos tudo.
"They were staring at us, like we were aliens.",Eles estavam nos olhando como se fôssemos alienígenas.
Why are we poor?,Por que somos pobres?
How did the traffic accident happen?,Como ocorreu o acidente de trânsito?
We apologize for the mistake.,Pedimos desculpa pelo engano.
It makes my hair stand on end.,Isso faz meu cabelo ficar arrepiado.
They won't come in.,Eles não vão entrar.
Do I have to go to Boston?,Tenho que ir para Boston?
You need to put some ice on your ankle to keep the swelling down.,Você precisa colocar um pouco de gelo no seu tornozelo para reduzir o inchaço.
Tom is going to need both our support.,Tom vai precisar do apoio de nós dois.
I saw a cat running after the dog.,Eu vi um gato correr atrás do cachorro.
The question doesn't concern me.,Essa questão não me concerne.
He would let me help him.,Ele me deixaria ajudá-lo.
Mary got her belly button pierced.,Mary colocou um piercing no umbigo.
It's raining again!,Está chovendo novamente.
Leave the books as they are.,Deixe os livros como estão.
That's a fake.,É uma farsa.
Why is everyone clapping?,Por que todo mundo está aplaudindo?
There's nothing here.,Não há nada aqui.
I only want to help.,Eu só quero ajudar.
Revenge is a dish which is best served cold.,Vingança é um prato que se serve frio.
No one wants to hurt Tom.,Ninguém quer machucar Tom.
Why would Tom come back?,Por que Tom voltaria?
"Tom, say something.","Tom, diga alguma coisa."
I'm dying of thirst.,Estou morrendo de sede.
"We're your friends, Tom.","Somos seus amigos, Tom."
I don't know this song.,Eu não conheço esta música.
He asked for a lot of money.,Ele pediu uma grande quantidade de dinheiro.
Tom said he wasn't handcuffed.,Tom disse que não estava algemado.
Try to look ahead.,Tente olhar para frente
It'll work like a charm.,Funcionará perfeitamente.
Are you there?,Você está aí?
I wonder why Tom didn't win.,Me pergunto por que o Tom não venceu.
What do you have planned for tonight?,O que planejastes para esta noite?
Tom remembers telling Mary the story about how he had escaped from being eaten by cannibals.,Tom se lembra de ter contado para Mary a história sobre como ele escapou de ser devorado pelos canibais.
Tom isn't as intelligent as you.,O Tom não é tão inteligente quanto você.
I had to see you again.,Eu precisava ver você de novo.
"I don't have a car, but my sister does.","Não tenho carro, mas minha irmã sim."
I didn't do that myself.,Eu não fiz isso sozinho.
Tom has decided he isn't going to try to keep Mary from doing that.,O Tom já decidiu que não vai tentar impedir a Mary de fazer isso.
My gaze locked on Tom's.,Meu olhar se fixou no de Tom.
I have a pretty tight schedule today.,Eu tenho uma agenda um tanto apertada hoje.
We must register for the courses that we're going to take by tomorrow.,Devemos inscrever-nos até amanhã nos cursos que vamos fazer.
He's a DJ.,Ele é DJ.
Tom is still at his grandfather's house.,O Tom ainda está na casa de seu avô.
Where's the nearest art gallery?,Onde fica a galeria de arte mais próxima?
This fits perfectly.,Isto cabe perfeitamente.
Tom and I stayed up late talking.,Tom e eu ficamos acordados até tarde falando.
That's hers.,É dela.
Tom has a beautiful voice.,O Tom tem uma voz linda.
It's for a friend of mine.,É para um amigo meu.
Keep me in the loop.,Mantenha-me ao corrente.
I understand how you're feeling.,Entendo como você está se sentindo.
I thought you were going to stay home.,Eu achei que você ia ficar em casa.
They have nothing in common with us.,Elas não têm nada em comum com a gente.
Can I borrow your car?,Posso pegar emprestado o teu carro?
We were surprised at his conduct.,Estávamos surpresos pela sua conduta.
Tom is Mary's gardener.,Tom é o jardineiro da Mary.
Can I have a bite?,Posso dar uma mordidinha?
Isn't it perfect?,Isso não é perfeito?
I write for a newspaper.,Eu escrevo para um jornal.
I don't think it's such a bad idea.,Não acho que essa seja uma ideia tão má assim.
I know that Tom isn't a very good wrestler.,Sei que o Tom não é um grande pugilista.
Don't write in ink.,Não escrevam a tinta.
I exaggerated.,Eu exagerei.
The better players helped those who were not so good at sports.,Os melhores jogadores ajudavam aqueles que não eram tão bons nos esportes.
Why did you open the windows?,Por que você abriu as janelas?
I like your car.,Eu gosto do seu carro.
I like my steak rare.,Gosto do meu bife mal passado.
Mary put some flowers in the vase and then put the vase on the table.,Maria pôs algumas flores no vaso e depois pôs o vaso na mesa.
Tom felt like a fish out of water.,Tom sentiu-se como um peixe fora d'água.
Are you hungry now?,Você está com fome agora?
I don't want them.,Não quero eles.
Tom knew I was unlucky.,O Tom sabia que eu era azarado.
I am dumbfounded.,Estou pasmado.
Tom lost some school library books.,Tom perdeu alguns livros da biblioteca da escola.
I've never stopped loving you.,Nunca deixei de amá-la.
I had a funny dream last night.,Eu tive um sonho engraçado noite passada.
I'm friends with Tom's brother.,Eu sou amigo do irmão de Tom.
One language is never enough.,Um idioma nunca é o suficiente.
I had a very interesting conversation with Tom.,Tive uma conversa muito interessante com Tom.
Can't you see Tom is sick?,Não estão vendo que Tom está doente?
"The optimist looks into a mirror and becomes more optimistic, the pessimist more pessimistic.","O otimista olha em um espelho e se torna mais otimista, o pessimista mais pessimista."
"We walked along a garden path, holding hands.","Andamos por um caminho de jardim, de mãos dadas."
I think it's time for me to get my own place.,Eu acho que é hora de eu ter meu próprio cantinho.
I told Tom to get some sleep.,Eu disse a Tom para dormir um pouco.
The piano in Tom's house is out of tune.,O piano na casa de Tom está desafinado.
We're having breakfast.,Estamos tendo café da manhã.
What made you so sad?,O que a deixou tão triste?
We made mistakes.,Nós cometemos erros.
She's not the kind of girl you think she is.,Ela não é o tipo de garota que pensas que ela é.
Why do you study French?,Por que vocês estudam francês?
I don't like this food.,Eu não gosto dessa comida.
They haven't won yet.,Eles ainda não venceram.
I've become a new man.,Eu me tornei um novo homem.
I've been a little distracted.,Eu fiquei um pouco distraído.
I enjoyed the concert a lot.,Eu gostei muito do show.
Tom always arrives on time.,Tom é sempre pontual.
I didn't recognize Tom.,Não reconheci Tom.
I have nothing else to wear.,Não tenho mais nada para vestir.
"Good night, everyone!","Boa noite, pessoal!"
I'm pretty sure that Tom doesn't like Mary.,Tenho certeza de que Tom não gosta de Maria.
None of these books are mine.,Nenhum destes livros é meu.
How many guitars do you have?,Quantos violões você tem?
It hardly ever rains here.,Aqui dificilmente chove.
That book is easy.,Aquele livro é fácil.
Tom smiled pleasantly.,Tom sorriu agradavelmente.
I want to eat out today.,Quero comer fora hoje.
I know I should've stayed with you.,"Eu sei, eu deveria ter ficado com você."
Tom was the first to arrive and the last to leave.,Tom foi o primeiro a chegar e o último a sair.
1980 was the year that I was born.,1980 foi o ano em que eu nasci.
Tom doesn't need this.,Tom não precisa disto.
Tom always keeps a map in the glove compartment.,Tom sempre coloca o mapa no porta-luvas.
I'm just an average girl.,Eu sou apenas uma garota normal.
The streets in Tokyo are full on Saturdays.,As ruas de Tóquio são cheias de gente no sábado.
"Hey, look at the time.","Ei, olha a hora!"
It was wet.,Estava molhada.
I want you to call Tom.,Eu quero que você ligue para o Tom.
He knows nothing about the plan.,Ele não sabe nada sobre o plano.
My car is faster than yours.,Meu carro é mais rápido que o seu.
You should buy it.,Você devia comprar isso.
Tom worked in Boston all last week.,O Tom trabalhou em Bostou a semana passada inteira.
I took a walk.,Eu dei uma volta.
There's nothing wrong with my memory.,Não há nada de errado com a minha memória.
Tom's dog ate the breadcrumbs.,O cachorro do Tom comeu as migalhas de pão.
I don't yet know how to swim.,Eu ainda não sei nadar.
Look out! There's a truck coming!,Olhe! Tem um caminhão vindo!
"It's hot today, isn't it?","Não está quente hoje, está?"
The address I have for Tom is wrong.,O endereço que eu tenho de Tom está errado.
I really should be going.,Eu realmente preciso ir.
I'm a brave person.,Sou uma pessoa corajosa.
Don't lose confidence.,Não perca a confiança.
When are you off?,Quando você vai embora?
I liked Tom's idea.,Eu gostei da ideia de Tom.
There's a child playing in the street.,Tem uma criança brincando na rua.
I won't tolerate this.,Eu não vou tolerar isso.
We should try to get Tom to do that.,Devemos tentar fazer com que Tom faça isso.
"You hate to lose, don't you?","Detestam perder, não é verdade?"
Is it hard to eat with chopsticks?,É difícil comer com hashi?
This saying suddenly became popular.,Este dito ficou popular de repente.
Tom is unusual.,Tom é incomum.
Tom was in a car accident.,Tom se envolveu em um acidente de carro.
I went camping with my family.,Eu fui acampar com a minha família.
We knew that.,Sabíamos disso.
There's nothing better to do.,Não há nada melhor para se fazer.
She writes to him every week.,Ela lhe escreve toda semana.
The professor gave a lecture on the Middle East.,O professor deu uma aula sobre o Oriente Médio.
Do you expect me to pay?,A senhora espera que eu pague?
I think about it every day.,Todos os dias penso sobre isso.
Change is important.,A mudança é importante.
I bought it last week.,Comprei-o na semana passada.
I don't have many friends.,Não tenho muitos amigos.
I made him sweep the floor.,Eu o fiz varrer o chão.
It's where no one can get it.,É onde ninguém pode alcançar.
I wondered what Tom wanted.,Me perguntei o que Tom queria.
"Tom entered the conference room, carrying a clipboard.","Tom entrou na sala de reunião, carregando uma prancheta."
Be good.,Sê boa.
We're careful drivers.,Somos motoristas cuidadosos.
Tom told me it would be easy.,Tom me disse que seria fácil.
I beg you to give me a little water.,Suplico-lhe que me dê um pouco de água.
I came as soon as I got your message.,Eu vim assim que recebi sua mensagem.
Tom was unable to answer my question.,Tom não conseguiu responder à minha pergunta.
I kept still and said nothing.,Fiquei quieto e não disse nada.
"Actinium melts at 1,051°C.",O actínio se funde a 1051°C.
Tom took his dog for a walk.,Tom levou o seu cachorro para passear.
Tom's door was shut.,A porta de Tom estava fechada.
My sister is younger than me.,A minha irmã é mais nova que eu.
Tom said he believed that.,Tom disse que ele acreditava nisso.
"I'm sorry, I really messed up.","Desculpe, eu realmente estraguei tudo."
Please let me carry your bag.,"Por favor, deixe-me carregar a sua mala."
They visited us.,Eles nos visitaram.
I have to go to the office.,Eu preciso ir ao escritório.
I'd like to know how to paint like that.,Eu gostaria de saber pintar assim.
That's great.,Que bom!
Our garden has two cherry trees.,Nosso jardim tem duas cerejeiras.
I left home at 2:30.,Saí de casa às 2:30.
Tom said that I could spend the night at his place.,Tom disse que eu poderia passar a noite em sua casa.
Why did you quit studying French with Tom?,Por que é que deixaste de estudar francês com o Tom?
I eat in the classroom.,Eu como na sala de aula.
Tom did everything he could for his children.,Tom fez tudo o que pôde por seus filhos.
It looks like Tom is excited.,Parece que Tom está empolgado.
Did you watch the press conference?,Vocês assistiram à coletiva de imprensa?
What do you want that for?,Para o que você quer isso?
I want you to sing a song.,Quero que você cante uma música.
She showed him how to use the new software.,Ela mostrou a ele como usar o novo programa.
English is spoken in many parts of the world.,O inglês é falado em muitas partes do mundo.
Whose camera is this?,De quem é esta câmera?
What's the matter?,Que foi que aconteceu?
Where's your restaurant?,Onde é seu restaurante?
We want to spend our honeymoon in Australia.,Queremos passar nossa lua de mel na Austrália.
Who'd know that?,Quem saberia disso?
There should be enough food for everybody.,Deve haver comida o suficiente para todos.
Tom's father was a diplomat.,O pai de Tom era diplomata.
Tom wasn't injured in the fall.,Tom não se feriu na queda.
Tom talked with Mary all night.,Tom conversou com Maria a noite inteira.
Can I throw this out?,Posso jogar isto fora?
Whatever doesn't kill us only makes us stronger.,Qualquer coisa que não nos mata só nos deixa mais fortes.
I went to the aquarium today.,Fui ao aquário hoje.
I drink coffee with milk.,Eu bebo café com leite.
Tom's resume is impressive.,O curriculum de Tom é admirável.
Do those girls wear white skirts?,Aquelas meninas estão usando saias brancas?
It was Tom who told me I didn't need to do that.,Foi o Tom que me disse que eu não precisava fazer isso.
"Tom isn't afraid of us, is he?","Tom não tem medo de nós, tem?"
It's done.,Está pronto.
He always took a seat in the front row.,Ele sempre ocupou um lugar na linha de frente.
Tom lost the book that he'd borrowed from the library.,Tom perdeu o livro que havia emprestado da biblioteca.
Did you write something in my notebook?,Vocês escreveram alguma coisa no meu caderno?
You are not Japanese.,Vocês não são japoneses.
You shouldn't have gone to such a dangerous place.,Você não deveria ter ido a um lugar perigoso assim.
Tom leaned forward and whispered into Mary's ear.,Tom se inclinou para a frente e sussurrou no ouvido de Mary.
How much do they cost?,Quanto custam?
I forgot that Tom used to live in Boston.,Eu esqueci que Tom costumava morar em Boston.
Tom is trying to stay calm.,Tom está tentando ficar calmo.
I won't be late.,Eu não me atrasarei.
These are ours.,Estes são nossos.
The wind is blowing.,O vento está a soprar.
Don't allow Tom to do that.,Não deixe Tom fazer isso.
All three of you need to do that.,Todos os três têm de fazer isso.
Don't stay up late waiting for that to happen.,Não fique acordado até tarde esperando para que isso aconteça.
Why doesn't Tom want to go?,Por que o Tom não quer ir?
He didn't really go to the church.,Ele não foi mesmo à igreja.
You'd have fun.,Vós vos divertiríeis.
"You're quite forgetful, aren't you?","A senhora é bem esquecida, não é?"
"Close the door, please.","Feche a porta, por favor."
I will repair that machine myself.,Eu mesmo irei consertar aquela máquina.
Tom asked for more coffee.,O Tom pediu mais café.
She pulled down the blinds.,Ela abaixou as persianas.
We'll visit you one of these days.,Nós vamos te visitar qualquer dia desses.
This might be just what we need.,Isso pode ser exatamente o que precisamos.
Tom claimed he wasn't afraid.,Tom declarou que não tinha medo.
Tom hasn't yet finished doing that.,Tom ainda não terminou de fazer isso.
We don't have to work together.,Nós não precisamos trabalhar juntos.
Please don't do that.,"Não faça isso, por favor."
Tom was snoring.,O Tom estava roncando.
This task is difficult.,Essa tarefa é difícil.
Is there a post office near here?,Há alguma agência dos correios perto daqui?
French is the only foreign language I'm able to speak.,Francês é a única língua estrangeira que sou capaz de falar.
Did you or did you not accept the bribe?,Você aceitou ou não aceitou a propina?
Tom really doesn't like doing that.,Tom realmente não gosta de fazer isso.
I'm a vegan.,Sou vegano.
I got home first.,Cheguei em casa primeiro.
I hope that we have time to prepare for that.,Espero que tenhamos tempo para nos preparar para isso.
Tom and Mary are out of danger.,Tom e Mary estão fora de perigo.
We know your father.,Nós conhecemos o pai de vocês.
Did you know that rotten eggs float?,Você sabia que ovo podre boia?
What did you buy at the supermarket?,O que você comprou no supermercado?
Tom has been injured three times this year.,Tom se machucou três vezes este ano.
Are you an extrovert or an introvert?,Você é extrovertido ou introvertido?
A lot of people lived there.,Ali moravam muitas pessoas.
That looks somewhat dangerous.,Isso parece um pouco perigoso.
I didn't try to respond.,Não tentei responder.
Please return the book tomorrow.,"Por favor, devolva o livro amanhã."
He kept walking all the day.,Ele continuou andando o dia todo.
Tom isn't going to be mad if Mary doesn't do that.,O Tom não vai ficar bravo se a Mary não fizer isso.
It's pretty ugly.,É muito feio.
I promise you I'll look after you.,Eu prometo que vou cuidar de você.
When can I see you?,Quando posso vê-la?
Is this all for real?,É tudo de verdade?
The light was on in the kitchen.,A luz estava acesa na cozinha.
Is it OK if I change the channel?,Está tudo bem se eu trocar o canal?
I am acquainted with the author.,O autor é um conhecido meu.
I was in very good company.,Estava em ótima companhia.
I'm the youngest in my class.,Eu sou a mais jovem da minha turma.
He is just a child.,Ele é apenas uma criança.
We have to act fast.,Temos de agir rápido.
Was Tom able to accomplish his goals?,Tom foi capaz de atingir os objetivos dele?
"I miss Tom, too.",Eu também sinto falta de Tom.
I searched in my pocket for a coin to make a phone call.,Eu procurei uma moeda para fazer uma ligação em meu bolso.
I know Tom is worried.,Eu sei que o Tom está preocupado.
I went to the police.,Eu fui à polícia.
How does a doctor know if a patient is lying?,Como um médico sabe se um paciente está mentindo?
My children live in Boston.,Os meus filhos moram em Boston.
She was the last person I had expected to see there.,Ela era a última pessoa que eu esperava encontrar lá.
He is ill.,Ele está doente.
It doesn't get any better than this.,Não tem como ficar melhor que isto.
I was angry with Tom.,Eu estava com raiva de Tom.
I have no time.,Eu não tenho tempo.
Tom tried to help Mary.,Tom tentou ajudar Maria.
We got into a car.,Nós fomos em um carro.
What color are you going to paint Tom's bedroom?,De que cor você vai pintar o quarto de Tom?
You should get out of here as quickly as you can.,Você deve sair daqui o mais rápido que puder.
Show us how to do it.,Mostre-nos como fazê-lo.
Is there anything you want to tell us?,Há alguma coisa que você queira nos dizer?
What is the purpose of life?,Qual é o significado da vida?
What were you hoping to find?,O que tu estavas esperando encontrar?
What are we going to do about that?,O que nós vamos fazer a respeito?
I read the whole book in one evening.,Li o livro inteiro em uma noite.
I think it's better to do it this way.,Acho que é melhor fazer deste jeito.
"See you later, Tom.","Vejo você mais tarde, Tom."
Why are you mad at me?,Por que vocês estão bravas comigo?
She is extremely attractive.,Ela é muito atraente.
Where do you want to go?,Aonde queres ir?
Tom will do that the next time.,O Tom vai fazer isso da próxima vez.
Come tomorrow.,Venham amanhã.
Tom is drying his face with a towel.,Tom está enxugando o rosto com uma toalha.
Tom hasn't said anything since he got home.,"Desde chegar a casa, o Tom ainda não disse nada."
Tom went to Boston in 2003.,Tom foi a Boston em 2003.
Are you studying?,Vocês estão estudando?
How did the exam go?,Como foi a prova?
I want that.,Eu quero aquilo.
Go with Tom.,Vá com o Tom.
Some people are evil.,Algumas pessoas são más.
I was cleaning.,Eu estava limpando.
Tom told me I'm overconfident.,Tom me disse que eu sou presunçoso.
Tom smiled.,Tom sorriu.
Only girls' shoes are sold here.,Aqui só vendemos sapatos de mulher.
Tom said he didn't feel cold.,Tom disse que não sentiu frio.
You know how you get when you're hungry.,Você sabe como fica quando está com fome.
Your tie looks good.,Sua gravata está bonita.
She scolded him for being late.,Ela xingou ele por estar atrasado.
I'll go with you if necessary.,Eu irei com você se for necessário.
How did you come to know her?,Como você veio a conhecê-la?
Japan is an industrial country.,O Japão é um país industrializado.
Nothing else mattered to Tom.,Nada mais importava para o Tom.
I want you to be my wife.,Eu quero que você seja a minha mulher.
You've got to be kidding me!,Você deve estar brincando comigo.
I love to float in the water.,Amo flutuar na água.
Tom had a job interview this morning.,O Tom teve uma entrevista de emprego esta manhã.
Tom said that he wanted to kiss Mary.,Tom disse que queria beijar Mary.
I'm open-minded.,Eu tenho uma mente aberta.
Who wants to go hunting?,Quem quer ir caçar?
"I had a part-time job as a hotel maid, but I didn't like it very much.","Tive um emprego de meio período como camareira de um hotel, mas não gostei muito."
I can't stay much longer.,Não posso ficar por muito mais tempo.
"It's a good restaurant, but it's quite expensive.","É um bom restaurante, mas bem caro."
Tom wasn't very happy in Boston.,Tom não era muito feliz em Boston.
Is this too sloppy?,Isso está desleixado demais?
I plan to get a job as soon as I can.,Planejo conseguir um emprego tão logo quanto eu puder.
"Leave this to me, Tom.","Deixe isto comigo, Tom."
The server is down again.,O servidor está fora do ar novamente.
I think that everything will be OK.,Eu acho que tudo estará bem.
You look bored.,Pareces aborrecida.
I think that I already know what you're going to say to me.,Acho que já sei o que me vais dizer.
Tom told me he wouldn't win.,O Tom avisou-me que não ia ganhar.
I'll study French this afternoon.,Vou estudar francês essa tarde.
He has worked in the embassy for three months.,Ele trabalha na Embaixada há três meses.
His project was funded by grants.,Seu projeto foi financiado por doações.
I think Tom is already on the plane.,Acho que Tom já está no avião.
Tom is heavy.,Tom é pesado.
What secret is Tom hiding?,Que segredo Tom está escondendo?
Tom and Mary spent hours talking about their future plans.,O Tom e a Mary passaram horas discutindo sobre os futuros planos deles.
Who talked?,Quem falou?
It's awfully hot today.,Hoje está fazendo um calor horrível.
"Whatever you do, do it quickly.","O que quer que os senhores façam, façam-no com presteza."
These grapes taste sour.,Estas uvas têm sabor azedo.
Why's it bothering you?,Por que isso o incomoda?
Are you impulsive?,És impulsivo?
She likes tennis as well as basketball.,"Ela gosta de tênis, bem como de basquetebol."
What's the name of your ship?,Qual é o nome do seu barco?
I like him.,Eu gosto dele.
I have to cut Tom's hair.,Eu tenho que cortar o cabelo do Tom.
Tom has published another book.,Tom publicou outro livro.
We didn't mean to hurt you.,Não tivemos a intenção de machucá-los.
I asked myself why.,Eu me perguntava por quê.
Tom is too clingy.,Tom é muito chato.
That won't help.,Isso não vai ajudar.
We know who they are.,Sabemos quem são.
Tom always says that.,O Tom sempre diz isso.
We don't want to be a bother.,Nós não queremos ser um incômodo.
"If it rains tomorrow, the game will be canceled.","Se chover amanhã, o jogo será cancelado."
The roses are red.,As rosas são vermelhas.
Tom drew a tree.,Tom desenhou uma árvore.
This is really exciting.,Isso é muito excitante!
He is a great authority on economics.,Ele é uma grande autoridade em economia.
I ate out.,Eu comi fora.
Recess ended.,O recreio terminou.
Do we have enough time?,Temos tempo suficiente?
Stay with us.,Fique conosco.
Why am I so tired?,Por que estou tão cansada?
We have a lot of work to do.,Nós temos muito trabalho a fazer.
Tom is close to tears.,Tom está quase chorando.
My car needs to be washed.,O meu carro precisa ser lavado.
"I thought doing this would be easy, but we've been working all day and we're still not finished.","Eu pensei que fazer isso seria fácil, mas ficamos trabalhando o dia todo e ainda não terminamos."
Tom wouldn't do that if he didn't need to.,O Tom não faria isso se ele não precisasse.
I will never hurt you.,Nunca vou magoar vocês.
Tom can sleep in my room.,Tom pode dormir no meu quarto.
I want to practice my French.,Quero praticar o meu francês.
I know where it is.,Eu sei onde está.
Is there anything I can do?,Há alguma coisa que eu possa fazer?
I can't wait to tell Tom the good news.,Não posso esperar para contar a Tom as boas notícias.
Do you remember the first time we met?,Lembra-se da primeira vez que nos conhecemos?
Tom said that I looked very sick.,Tom disse que eu pareci muito doente.
I wasn't honest.,Não fui honesto.
It's a pity that you can't come.,É uma pena que não possas vir.
Tom has written several poems about this island.,Tom escreveu vários poemas sobre esta ilha.
I don't know what the problem is.,Não sei qual é o problema.
It's dangerous to live near a volcano.,É perigoso morar perto de um vulcão.
Tom watched Mary closely.,Tom observou Mary atentamente.
His methods are not scientific.,Os métodos dele não são científicos.
Pour melted butter over the popcorn.,Despeje manteiga derretida na pipoca.
What's your favorite color for curtains?,Qual é a sua cor de cortinas favorita?
Tom said that he was feeling tired.,O Tom disse que estava se sentindo cansado.
Do they know?,Elas sabem?
Can I be your friend?,Eu posso ser seu amigo?
Tom is looking for a solution to the problem.,O Tom está procurando uma solução para o problema.
It will only take a few minutes.,Isso leva apenas alguns minutos.
Please tell me all about it.,"Por favor, me conte tudo sobre isso."
Tom won't agree to a divorce.,Tom não irá concordar com o divórcio.
I'd like to be a millionaire.,Eu queria ser milionário.
I hate rats.,Eu odeio ratos.
We have that in common.,Temos isso em comum.
What am I doing this for?,Por que eu estou fazendo isso?
The problem was where to set up the tent.,O problema era onde armar a barraca.
Tell me why you didn't do what I asked.,Me diga por que você não fez o que te pedi.
Tom banged his head.,Tom bateu a cabeça.
The idea was simple.,A ideia era simples.
I've got to get my license renewed.,Tenho que renovar a minha carteira de motorista.
It can be used as a knife.,Pode ser usado como uma faca.
She is afraid of dogs.,Ela tem medo de cachorros.
Are you a prisoner?,Você é um prisioneiro?
I think you know the answer to that question.,Acho que você sabe a resposta para essa pergunta.
You work for me.,Você trabalha para mim.
Tom tried to sell his house.,Tom tentou vender a casa dele.
His lectures are very long.,As palestras dele são muito longas.
Nobody forced me to do that.,Ninguém me forçou a fazer isso.
There's no need for violence.,Não há necessidade de violência.
The sky is clear almost every day.,O céu está limpo quase todo dia.
It has developed into a very large city.,O lugar se desenvolveu numa cidade enorme.
It's good that everything is over.,É bom que tudo acabe.
The king governed the country.,O rei governava o país.
I'm also interested in Greek mythology.,Eu também estou interessado na mitologia grega.
I forgot to put on sunscreen.,Eu esqueci de colocar protetor solar.
Tom wants to help out.,Tom quer ajudar.
I've lost weight again.,Perdi peso de novo.
He's always gossiping.,Ele está sempre mexericando.
"In the cemetery, there is a statue of a snake biting its own tail.","No cemitério, há uma estátua de uma serpente que se morde a cauda."
Carbon monoxide poisoning can cause hallucinations.,O envenenamento por monóxido de carbono pode causar alucinações.
Tom drank less than Mary did.,Tom bebeu menos do que Mary.
Everyone was shocked by the news.,Todos ficaram chocados com a notícia.
I want you to come with us tonight.,Quero que você venha conosco esta noite.
I plan to visit Boston next summer.,Eu pretendo visitar Boston no próximo verão.
Tom may get suspended.,O Tom talvez seja suspenso.
"OK, you win.","OK, tu venceste."
The television is off.,A televisão está desligada.
We have eaten there three times.,Comemos lá três vezes.
Don't forget the receipt.,Não esqueça da nota fiscal.
That's Greek to me.,Não estou entendendo patavina.
Did you hear about the time Tom tried to kill Mary?,Você ouviu falar de quando Tom tentou matar Mary?
He finished reading the letter.,Ele acabou de ler a carta.
The boss asked me to do that today.,O chefe pediu que eu fizesse isso hoje.
Tom never wins at tic-tac-toe.,O Tom não ganha nunca no jogo da velha.
Tom came to the meeting late.,Tom chegou à reunião atrasado.
I know that Tom is awake.,Sei que o Tom está acordado.
